,Unnamed: 0.1,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,ID,Likes
10,10,,"Top in endocrinology: Benefits of stair walking on insulin, weight gain in women with PCOS - Healio",A new study showed that 3 minutes of moderate-intensity stair walking can lower glucose and insulin concentrations and 10 minutes can improve insulin sensitivity. It was the top story in endocrinology last week.,https://www.healio.com/news/primary-care/20220119/top-in-endocrinology-benefits-of-stair-walking-on-insulin-weight-gain-in-women-with-pcos,https://www.healio.com/~/media/slack-news/stock-images/pulmonology/e/exercise-man-stretching_adobe.jpg,2022-01-19T16:19:26Z,"We were unable to process your request. Please try again later. If you continue to have this issue please contact customerservice@slackinc.com.Back to Healio
A new study showed that 3 minutes of mod… [+1975 chars]",,Healio,DECD368439DC5246,1
11,11,,Nafiu Rafiu Bala hails RIFAN's President on achieving Mega Rice Pyramid Project - Vanguard,,https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIyLzAxL25hZml1LXJhZml1LWJhbGEtaGFpbHMtcmlmYW5zLXByZXNpZGVudC1vbi1hY2hpZXZpbmctbWVnYS1yaWNlLXB5cmFtaWQtcHJvamVjdC_SAQA?oc=5,,2022-01-19T16:16:33Z,,google-news,Google News,24D477CC5C1EE536,1
12,12,,"Oil nears $90, the Highest Level Since 2014 When Goodluck Jonathan Was President, but this Time it is Headache - Legit.ng",,https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LmxlZ2l0Lm5nL2J1c2luZXNzLWVjb25vbXkvZW5lcmd5LzE0NTI0MjEtb2lsLXByaWNlcy1oaXQtODgtaGlnaGVzdC1sZXZlbC0yMDE0LWdvb2RsdWNrLWpvbmF0aGFuLXByZXNpZGVudC_SAQA?oc=5,,2022-01-19T15:35:44Z,,google-news,Google News,217342AF5AB18CF1,1
13,13,Kevin Nielsen,Kitchener resident wakes up to discover bullet hole in front door: police - Globalnews.ca,Investigating officers found the bullet home Monday morning in the door of a location near Paulander Drive and Lawrence Avenue in Kitchener.,https://globalnews.ca/news/8523168/kitchener-bullet-hole-door/,https://globalnews.ca/wp-content/uploads/2019/04/waterloo-police-car.jpg?quality=85&strip=all&w=720&h=379&crop=1,2022-01-19T15:23:12Z,"Waterloo Regional Police say there was a shooting in Kitchener sometime overnight between Sunday and Monday.
Police were called to Paulander Drive and Lawrence Avenue on Monday morning at around 7:4… [+625 chars]",,Global News,D7DBE45589D134F2,1
14,14,Seun Opejobi,Biafra: Kanu’s lawyer reacts to IPOB leader’s victory against govt in court - Daily Post Nigeria,"Aloy Ejimakor, Special Counsel to Nnamdi Kanu, leader of the Indigenous People of Biafra, IPOB, has reacted to the Abia State High Court ruling on the pro-Biafra agitator. Justice Ben Anya of the High Court sitting in Abia State had refused to entertain the F…",https://dailypost.ng/2022/01/19/biafra-kanus-lawyer-reacts-to-ipob-leaders-victory-against-govt-in-court/,https://dailypost.ng/wp-content/uploads/2020/09/Nnamdi-Kanu.jpg,2022-01-19T15:13:32Z,"Aloy Ejimakor, Special Counsel to Nnamdi Kanu, leader of the Indigenous People of Biafra, IPOB, has reacted to the Abia State High Court ruling on the pro-Biafra agitator.
Justice Ben Anya of the Hi… [+1527 chars]",,Daily Post Nigeria,1C28E1CF250C7E06,1
15,15,Don Silas,Guinea-Bissau vs Nigeria: Baciro Cande predicts 2021 AFCON clash - Daily Post Nigeria,"Head coach of Guinea-Bissau, Baciro Cande, has predicted a ‘tough’ match when his team clashes with Nigeria at the ongoing 2021 Africa Cup of Nations, AFCON. Cande said Guinea-Bissau is well prepared and will play Nigeria to win. Guinea-Bissau will tackle the…",https://dailypost.ng/2022/01/19/guinea-bissau-vs-nigeria-baciro-cande-predicts-2021-afcon-clash/,https://dailypost.ng/wp-content/uploads/2022/01/Baciro-Cande-1.jpeg,2022-01-19T13:43:00Z,"Head coach of Guinea-Bissau, Baciro Cande, has predicted a tough match when his team clashes with Nigeria at the ongoing 2021 Africa Cup of Nations, AFCON.
Cande said Guinea-Bissau is well prepared … [+871 chars]",,Daily Post Nigeria,81A5614E44C6B1BD,1
16,16,Michail,"Tecno Pop 5 Pro announced with Helio A22 and 6,000 mAh battery - GSMArena.com news - GSMArena.com",It boots Android 11 (Go Edition) with Tecno's HiOS 7.6 on top.,https://www.gsmarena.com/tecno_pop_5_pro_brings_helio_a22_and_6000_mah_battery_-news-52756.php,https://fdn.gsmarena.com/imgroot/news/22/01/tecno-pop-5-pro-ofic/-952x498w6/gsmarena_000.jpg,2022-01-19T13:37:01Z,"Tecno unveiled its latest Pop series phone the 5 Pro in India earlier today. The entry-level phone brings a 6.52-inch FHD+ display, MediaTeks Helio A22 chipset and a massive 6,000 mAh battery. The ph… [+601 chars]",,GSMArena.com,F390C5D62126ACF5,1
17,17,,2023: Only God can direct me on my successor – Okowa - Vanguard,,https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIyLzAxLzIwMjMtb25seS1nb2QtY2FuLWRpcmVjdC1tZS1vbi1teS1zdWNjZXNzb3Itb2tvd2Ev0gEA?oc=5,,2022-01-19T13:23:38Z,,google-news,Google News,63911F16DE1D8FB7,1
18,18,,"How I built multi-million dollar business in US, Senator Ademola Adeleke - Vanguard",,https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIyLzAxL2hvdy1pLWJ1aWx0LW11bHRpLW1pbGxpb24tZG9sbGFyLWJ1c2luZXNzLWluLXVzLXNlbmF0b3ItYWRlbW9sYS1hZGVsZWtlL9IBAA?oc=5,,2022-01-19T12:53:41Z,,google-news,Google News,95B20C530AF53FE5,1
19,19,Stephen Angbulu,"APC chairmanship: Don’t elect EFCC-indicted ex-govs, group warns - Punch Newspapers","Ahead of the national convention of the All Progressives Congress slated for February 26 in Abuja, a South-South Emerging Leaders’ Forum has warned party leaders to avoid electing some former governors and individuals in the race who have been indicted for fi…",https://punchng.com/apc-chairmanship-dont-elect-efcc-indicted-ex-govs-group-warns/,https://cdn.punchng.com/wp-content/uploads/2021/08/15102107/APC-flag.jpg,2022-01-19T12:45:31Z,"Ahead of the national convention of the All Progressives Congress slated for February 26 in Abuja, a South-South Emerging Leaders Forum has warned party leaders to avoid electing some former governor… [+1646 chars]",,The Punch,55D474F90D33C5BC,1
